area,posicao,co_posicao_abs,co_item,habilidade_cod,habilidade_desc,gabarito,n_valido,pct_acerto,distrator_campeao,pct_campeao_entre_errados,pct_campeao_da_base,lift_vs_uniforme,param_a,param_b,param_c,dif_tri,lingua
CH,13,58,55300,CHH9,"Comparar o significado histórico-geográfico das organizações políticas e socioeconômicas em escala local, regional ou mundial.",D,836126,39.2,B,32.7,19.9,1.31,1.31187,0.62382,0.05009,562.4,
CH,14,59,140491,CHH26,Identificar em fontes diversas o processo de ocupação dos meios físicos e as relações da vida humana com a paisagem.,B,836187,18.9,E,44.2,35.8,1.77,3.19307,1.3846,0.09892,638.5,
CH,15,60,140201,CHH23,Analisar a importância dos valores éticos na estruturação política das sociedades.,D,836341,30.8,C,30.1,20.9,1.21,2.24373,1.5186,0.21973,651.9,
CH,16,61,85670,CHH24,Relacionar cidadania e democracia na organização das sociedades.,E,836084,54.1,A,35.9,16.5,1.44,0.93648,0.01685,0.00699,501.7,
CH,17,62,141135,CHH22,Analisar as lutas sociais e conquistas obtidas no que se refere às mudanças nas legislações ou nas políticas públicas.,B,836306,47.8,E,55.1,28.7,2.2,0.87966,0.51011,0.00817,551.0,
CH,18,63,140594,CHH19,Reconhecer as transformações técnicas e tecnológicas que determinam as várias formas de uso e apropriação dos espaços rural e urbano.,B,836065,46.8,A,38.8,20.6,1.55,1.86385,1.14501,0.26101,614.5,
CH,19,64,85827,CHH13,Analisar a atuação dos movimentos sociais que contribuíram para mudanças ou rupturas em processos de disputa pelo poder.,A,835044,19.5,E,32.4,26.1,1.3,1.49039,2.09108,0.13159,709.1,
CH,20,65,141009,CHH23,Analisar a importância dos valores éticos na estruturação política das sociedades.,C,834730,53.8,E,35.1,16.2,1.4,0.96638,0.17386,0.02709,517.4,
CH,21,66,141340,CHH24,Relacionar cidadania e democracia na organização das sociedades.,D,835355,17.6,B,38.2,31.5,1.53,1.73204,2.72077,0.1455,772.1,
CH,22,67,84849,CHH10,Reconhecer a dinâmica da organização dos movimentos sociais e a importância da participação da coletividade na transformação da realidade histórico-geográfica.,D,833630,27.3,A,42.9,31.2,1.72,4.59882,2.67933,0.2714,767.9,
CH,23,68,149824,CHH6,Interpretar diferentes representações gráficas e cartográficas dos espaços geográficos.,E,836035,44.5,C,33.7,18.7,1.35,3.19948,0.61346,0.2005,561.3,
CH,24,69,88661,CHH1,Interpretar historicamente e/ou geograficamente fontes documentais acerca de aspectos da cultura.,C,835080,35.6,B,46.1,29.7,1.84,1.09592,1.36918,0.15733,636.9,
CH,25,70,56368,CHH27,"Analisar de maneira crítica as interações da sociedade com o meio físico, levando em consideração aspectos históricos e(ou) geográficos.",B,834377,22.8,E,34.5,26.7,1.38,1.48674,1.75227,0.12006,675.2,
CH,26,71,83900,CHH5,Identificar as manifestações ou representações da diversidade do patrimônio cultural e artístico em diferentes sociedades.,A,835413,57.7,B,37.1,15.7,1.49,2.84871,0.31801,0.21545,531.8,
CH,27,72,84812,CHH1,Interpretar historicamente e/ou geograficamente fontes documentais acerca de aspectos da cultura.,D,834156,26.0,A,31.6,23.4,1.26,2.51773,1.23104,0.13566,623.1,
CH,28,73,96978,CHH15,"Avaliar criticamente conflitos culturais, sociais, políticos, econômicos ou ambientais ao longo da história.",A,834537,58.3,D,39.7,16.6,1.59,3.38036,0.39077,0.295,539.1,
CH,29,74,95495,CHH11,Identificar registros de práticas de grupos sociais no tempo e no espaço.,B,833121,19.4,E,31.7,25.6,1.27,3.08374,1.64736,0.15319,664.7,
CH,30,75,90024,CHH19,Reconhecer as transformações técnicas e tecnológicas que determinam as várias formas de uso e apropriação dos espaços rural e urbano.,B,834932,41.9,C,36.5,21.2,1.46,2.69381,0.79832,0.22068,579.8,
CH,31,76,141167,CHH22,Analisar as lutas sociais e conquistas obtidas no que se refere às mudanças nas legislações ou nas políticas públicas.,C,834606,22.7,B,35.7,27.6,1.43,2.19091,1.56736,0.14811,656.7,
CH,32,77,118062,CHH28,Relacionar o uso das tecnologias com os impactos sócio-ambientais em diferentes contextos histórico-geográficos.,A,835263,57.2,D,34.4,14.7,1.38,2.19388,0.35534,0.2554,535.5,
CH,33,78,56054,CHH11,Identificar registros de práticas de grupos sociais no tempo e no espaço.,B,834748,34.7,A,57.8,37.8,2.31,2.42693,0.89696,0.18703,589.7,
CH,34,79,141162,CHH12,Analisar o papel da justiça como instituição na organização das sociedades.,A,832996,20.1,B,37.0,29.6,1.48,1.75522,2.19228,0.16031,719.2,
CH,35,80,118057,CHH30,"Avaliar as relações entre preservação e degradação da vida no planeta nas diferentes escalas. ANEXO Objetos de conhecimento associados às Matrizes de Referência 1. Linguagem, Códigos e suas Tecnologias • Estudo do texto: as sequências discu",C,833646,35.3,E,37.8,24.4,1.51,2.52659,0.77,0.12624,577.0,
CH,36,81,140932,CHH25,Identificar estratégias que promovam formas de inclusão social.,E,833622,29.5,C,36.5,25.7,1.46,1.9729,1.40956,0.20847,641.0,
CH,37,82,55581,CHH23,Analisar a importância dos valores éticos na estruturação política das sociedades.,E,832821,45.4,C,29.2,15.9,1.17,1.27011,0.4607,0.01257,546.1,
CH,38,83,125788,CHH21,Identificar o papel dos meios de comunicação na construção da vida social.,D,831348,27.7,B,36.8,26.6,1.47,1.33923,1.58995,0.13226,659.0,
CH,39,84,140518,CHH28,Relacionar o uso das tecnologias com os impactos sócio-ambientais em diferentes contextos histórico-geográficos.,D,832871,52.0,A,34.0,16.3,1.36,2.30961,0.41788,0.15881,541.8,
CH,40,85,140451,CHH14,"Comparar diferentes pontos de vista, presentes em textos analíticos e interpretativos, sobre situação ou fatos de natureza histórico-geográfica acerca das instituições sociais, políticas e econômicas.",B,832055,46.7,A,37.5,20.0,1.5,1.48185,0.40715,0.0573,540.7,
CH,41,86,141078,CHH17,Analisar fatores que explicam o impacto das novas tecnologias no processo de territorialização da produção.,C,832168,41.1,E,34.8,20.5,1.39,2.57535,0.86944,0.17393,586.9,
CH,42,87,111941,CHH25,Identificar estratégias que promovam formas de inclusão social.,B,832901,33.8,A,36.8,24.4,1.47,2.26139,1.02325,0.16839,602.3,
CH,43,88,85913,CHH3,Associar as manifestações culturais do presente aos seus processos históricos.,C,832791,48.7,B,28.8,14.8,1.15,2.33002,0.49764,0.18069,549.8,
CH,44,89,149787,CHH4,Comparar pontos de vista expressos em diferentes fontes sobre determinado aspecto da cultura.,E,832786,38.0,B,39.7,24.7,1.59,1.55351,0.67065,0.0359,567.1,
CH,45,90,140432,CHH7,Identificar os significados histórico-geográficos das relações de poder entre as nações,A,833324,31.2,D,32.2,22.2,1.29,3.02419,2.65234,0.31115,765.2,
CN,1,91,117652,CNH7,"Selecionar testes de controle, parâmetros ou critérios para a comparação de materiais e produtos, tendo em vista a defesa do consumidor, a saúde do trabalhador ou a qualidade de vida.",D,792403,30.9,C,42.4,29.3,1.7,2.67294,0.81134,0.11082,581.1,
CN,2,92,88062,CNH29,"Interpretar experimentos ou técnicas que utilizam seres vivos, analisando implicações para o ambiente, a saúde, a produção de alimentos, matérias primas ou produtos industriais.",D,791429,51.6,C,40.3,19.5,1.61,2.72571,0.53409,0.22592,553.4,
CN,3,93,89916,CNH28,"Associar características adaptativas dos organismos com seu modo de vida ou com seus limites de distribuição em diferentes ambientes, em especial em ambientes brasileiros.",C,791996,27.5,B,48.7,35.3,1.95,2.61875,1.03514,0.14955,603.5,
CN,4,94,141609,CNH5,Dimensionar circuitos ou dispositivos elétricos de uso cotidiano.,D,790661,20.6,B,41.1,32.6,1.64,1.93986,1.47354,0.11645,647.4,
CN,5,95,76022,CNH21,Utilizar leis físicas e (ou) químicas para interpretar processos naturais ou tecnológicos inseridos no contexto da termodinâmica e(ou) do eletromagnetismo.,C,792382,54.1,B,32.1,14.7,1.28,3.42122,0.81157,0.39932,581.2,
CN,6,96,117869,CNH16,"Compreender o papel da evolução na produção de padrões, processos biológicos ou na organização taxonômica dos seres vivos.",B,792350,66.8,C,41.7,13.9,1.67,1.40342,0.05691,0.18305,505.7,
CN,7,97,141754,CNH11,"Reconhecer benefícios, limitações e aspectos éticos da biotecnologia, considerando estruturas e processos biológicos envolvidos em produtos biotecnológicos.",D,792515,38.5,C,52.8,32.4,2.11,2.64721,0.62429,0.21123,562.4,
CN,8,98,97320,CNH10,"Analisar perturbações ambientais, identificando fontes, transporte e(ou) destino dos poluentes ou prevendo efeitos em sistemas naturais, produtivos ou sociais.",D,792447,71.1,A,47.6,13.7,1.9,2.99967,-0.11059,0.20992,488.9,
CN,9,99,44307,CNH28,"Associar características adaptativas dos organismos com seu modo de vida ou com seus limites de distribuição em diferentes ambientes, em especial em ambientes brasileiros.",C,792064,58.0,A,63.0,26.4,2.52,1.28277,-0.02368,0.08927,497.6,
CN,10,100,97650,CNH25,"Caracterizar materiais ou substâncias, identificando etapas, rendimentos ou implicações biológicas, sociais, econômicas ou ambientais de sua obtenção ou produção.",D,792103,59.7,E,45.3,18.3,1.81,1.12876,-0.22105,0.20737,477.9,
CN,11,101,78625,CNH22,"Compreender fenômenos decorrentes da interação entre a radiação e a matéria em suas manifestações em processos naturais ou tecnológicos, ou em suas implicações biológicas, sociais, econômicas ou ambientais.",A,791871,53.8,B,49.0,22.6,1.96,1.54378,0.98844,0.37883,598.8,
CN,12,102,88181,CNH30,"Avaliar propostas de alcance individual ou coletivo, identificando aquelas que visam à preservação e a implementação da saúde individual, coletiva ou do ambiente.",E,791647,56.5,C,50.3,21.9,2.01,0.66752,-0.13699,0.01141,486.3,
CN,13,103,111667,CNH14,"Identificar padrões em fenômenos e processos vitais dos organismos, como manutenção do equilíbrio interno, defesa, relações com o ambiente, sexualidade, entre outros.",A,791441,30.5,B,35.7,24.8,1.43,0.76781,1.53685,0.05698,653.7,
CN,14,104,141710,CNH4,"Avaliar propostas de intervenção no ambiente, considerando a qualidade da vida humana ou medidas de conservação, recuperação ou utilização sustentável da biodiversidade.",A,791424,62.4,E,45.2,17.0,1.81,2.40638,0.33454,0.35394,533.5,
CN,15,105,141577,CNH23,"Avaliar possibilidades de geração, uso ou transformação de energia em ambientes específicos, considerando implicações éticas, ambientais, sociais e/ou econômicas.",E,791358,27.4,D,31.9,23.1,1.27,2.32686,1.10209,0.14218,610.2,
CN,16,106,86643,CNH3,"Confrontar interpretações científicas com interpretações baseadas no senso comum, ao longo do tempo ou em diferentes culturas.",A,791685,39.3,B,37.0,22.4,1.48,2.26264,1.03971,0.25705,604.0,
CN,17,107,87450,CNH13,"Reconhecer mecanismos de transmissão da vida, prevendo ou explicando a manifestação de características dos seres vivos.",E,792297,43.3,C,67.7,38.4,2.71,1.67455,0.6282,0.18765,562.8,
CN,18,108,60058,CNH3,"Confrontar interpretações científicas com interpretações baseadas no senso comum, ao longo do tempo ou em diferentes culturas.",C,791716,9.7,E,31.5,28.5,1.26,2.43322,2.00446,0.06758,700.4,
CN,19,109,111737,CNH27,"Avaliar propostas de intervenção no meio ambiente aplicando conhecimentos químicos, observando riscos ou benefícios.",E,791623,33.6,D,33.5,22.2,1.34,2.02566,1.00774,0.21991,600.8,
CN,20,110,87716,CNH22,"Compreender fenômenos decorrentes da interação entre a radiação e a matéria em suas manifestações em processos naturais ou tecnológicos, ou em suas implicações biológicas, sociais, econômicas ou ambientais.",E,791288,26.8,C,35.8,26.2,1.43,3.12069,1.04345,0.16952,604.3,
CN,21,111,84440,CNH9,"Compreender a importância dos ciclos biogeoquímicos ou do fluxo energia para a vida, ou da ação de agentes ou fenômenos que podem causar alterações nesses processos.",B,792190,16.5,A,54.9,45.9,2.2,2.86246,1.41211,0.10841,641.2,
CN,22,112,85481,CNH19,"Avaliar métodos, processos ou procedimentos das ciências naturais que contribuam para diagnosticar ou solucionar problemas de ordem social, econômica ou ambiental.",D,791885,20.3,E,51.2,40.8,2.05,3.21881,1.26954,0.16281,627.0,
CN,23,113,67752,CNH20,"Caracterizar causas ou efeitos dos movimentos de partículas, substâncias, objetos ou corpos celestes.",B,790949,13.4,E,43.6,37.7,1.74,2.88186,1.91093,0.11423,691.1,
CN,24,114,141590,CNH1,"Reconhecer características ou propriedades de fenômenos ondulatórios ou oscilatórios, relacionando-os a seus usos em diferentes contextos.",B,792447,44.1,D,51.2,28.6,2.05,1.78046,0.59946,0.1569,559.9,
CN,25,115,83614,CNH24,"Utilizar códigos e nomenclatura da química para caracterizar materiais, substâncias ou transformações químicas.",C,791331,32.1,A,35.4,24.1,1.42,0.91431,1.14394,0.07728,614.4,
CN,26,116,117734,CNH28,"Associar características adaptativas dos organismos com seu modo de vida ou com seus limites de distribuição em diferentes ambientes, em especial em ambientes brasileiros.",C,792002,22.9,A,41.5,32.0,1.66,1.97245,1.25206,0.09695,625.2,
CN,27,117,83213,CNH21,Utilizar leis físicas e (ou) químicas para interpretar processos naturais ou tecnológicos inseridos no contexto da termodinâmica e(ou) do eletromagnetismo.,D,790982,25.6,C,28.7,21.4,1.15,2.98408,1.92485,0.18688,692.5,
CN,28,118,76686,CNH18,"Relacionar propriedades físicas, químicas ou biológicas de produtos, sistemas ou procedimentos tecnológicos às finalidades a que se destinam.",C,790375,25.6,D,47.6,35.4,1.91,2.02857,1.75727,0.19989,675.7,
CN,29,119,141522,CNH2,"Associar a solução de problemas de comunicação, transporte, saúde ou outro, com o correspondente desenvolvimento científico e tecnológico.",B,790531,31.8,C,35.3,24.1,1.41,1.31784,2.88051,0.29392,788.1,
CN,30,120,141642,CNH6,"Relacionar informações para compreender manuais de instalação ou utilização de aparelhos, ou sistemas tecnológicos de uso comum.",B,789639,28.8,A,39.2,27.9,1.57,6.00319,2.4444,0.28583,744.4,
CN,31,121,77992,CNH7,"Selecionar testes de controle, parâmetros ou critérios para a comparação de materiais e produtos, tendo em vista a defesa do consumidor, a saúde do trabalhador ou a qualidade de vida.",B,792074,15.3,E,33.9,28.7,1.36,3.07317,2.22434,0.09898,722.4,
CN,32,122,141601,CNH23,"Avaliar possibilidades de geração, uso ou transformação de energia em ambientes específicos, considerando implicações éticas, ambientais, sociais e/ou econômicas.",D,791822,28.9,C,53.1,37.8,2.13,2.30161,1.64956,0.31542,665.0,
CN,34,124,97091,CNH24,"Utilizar códigos e nomenclatura da química para caracterizar materiais, substâncias ou transformações químicas.",B,790326,22.0,A,27.7,21.6,1.11,1.71937,2.18313,0.18212,718.3,
CN,36,126,61018,CNH20,"Caracterizar causas ou efeitos dos movimentos de partículas, substâncias, objetos ou corpos celestes.",D,790844,21.8,B,38.1,29.8,1.53,2.29917,1.62756,0.1603,662.8,
CN,37,127,95445,CNH8,"Identificar etapas em processos de obtenção, transformação, utilização ou reciclagem de recursos naturais, energéticos ou matérias-primas, considerando processos biológicos, químicos ou físicos neles envolvidos.",C,791266,27.0,D,26.8,19.5,1.07,4.85792,1.12172,0.19432,612.2,
CN,38,128,97616,CNH17,"Relacionar informações apresentadas em diferentes formas de linguagem e representação usadas nas ciências físicas, químicas ou biológicas, como texto discursivo, gráficos, tabelas, relações matemáticas ou linguagem simbólica.",E,791210,44.4,A,32.6,18.1,1.3,2.30747,0.51744,0.18422,551.7,
CN,39,129,98246,CNH15,Interpretar modelos e experimentos para explicar fenômenos ou processos biológicos em qualquer nível de organização dos sistemas biológicos.,A,791697,46.6,C,52.3,27.9,2.09,1.19807,0.63661,0.13434,563.7,
CN,40,130,141529,CNH5,Dimensionar circuitos ou dispositivos elétricos de uso cotidiano.,E,790457,19.2,C,30.6,24.8,1.23,3.09565,1.79848,0.26323,679.8,
CN,41,131,96328,CNH26,"Avaliar implicações sociais, ambientais e/ou econômicas na produção ou no consumo de recursos energéticos ou minerais, identificando transformações químicas ou de energia envolvidas nesses processos.",E,790408,12.3,D,28.8,25.3,1.15,3.42124,1.93027,0.06916,693.0,
CN,43,133,86958,CNH17,"Relacionar informações apresentadas em diferentes formas de linguagem e representação usadas nas ciências físicas, químicas ou biológicas, como texto discursivo, gráficos, tabelas, relações matemáticas ou linguagem simbólica.",A,790913,20.3,C,34.5,27.5,1.38,1.55647,2.09416,0.14181,709.4,
CN,44,134,141671,CNH12,"Avaliar impactos em ambientes naturais decorrentes de atividades sociais ou econômicas, considerando interesses contraditórios.",B,790879,30.5,D,28.6,19.8,1.14,3.50039,1.25217,0.25537,625.2,
CN,45,135,97292,CNH1,"Reconhecer características ou propriedades de fenômenos ondulatórios ou oscilatórios, relacionando-os a seus usos em diferentes contextos.",A,791101,16.3,D,27.7,23.2,1.11,2.79117,1.62585,0.11285,662.6,
LC,1,1,153875,LCH7,"Relacionar um texto em LEM, as estruturas linguísticas, sua função e seu uso social.",D,501911,62.1,E,44.8,16.9,1.79,3.7284,0.3723,0.1705,537.2,Inglês
LC,1,1,152688,LCH6,"Utilizar os conhecimentos da LEM e de seus mecanismos como meio de ampliar as possibilidades de acesso a informações, tecnologias e culturas.",B,336331,56.0,E,38.3,16.9,1.53,1.12528,0.36546,0.2073,536.5,Espanhol
LC,2,2,118169,LCH7,"Relacionar um texto em LEM, as estruturas linguísticas, sua função e seu uso social.",D,501413,64.5,A,32.6,11.6,1.3,2.94472,0.59928,0.24615,559.9,Inglês
LC,2,2,153945,LCH8,Reconhecer a importância da produção cultural em LEM como representação da diversidade cultural e linguística.,A,335741,25.0,D,48.9,36.7,1.96,1.8208,1.32304,0.19745,632.3,Espanhol
LC,3,3,153836,LCH6,"Utilizar os conhecimentos da LEM e de seus mecanismos como meio de ampliar as possibilidades de acesso a informações, tecnologias e culturas.",D,501391,57.5,C,53.9,22.9,2.16,2.38626,0.67668,0.18733,567.7,Inglês
LC,3,3,140709,LCH7,"Relacionar um texto em LEM, as estruturas linguísticas, sua função e seu uso social.",D,335649,33.7,A,42.4,28.1,1.69,2.7718,0.94236,0.20053,594.2,Espanhol
LC,4,4,112036,LCH5,Associar vocábulos e expressões de um texto em LEM ao seu tema.,E,501105,52.5,A,27.1,12.9,1.08,4.90205,0.71195,0.17497,571.2,Inglês
LC,4,4,154015,LCH8,Reconhecer a importância da produção cultural em LEM como representação da diversidade cultural e linguística.,D,335955,15.8,C,43.9,36.9,1.75,2.90355,1.66292,0.12537,666.3,Espanhol
LC,5,5,153930,LCH6,"Utilizar os conhecimentos da LEM e de seus mecanismos como meio de ampliar as possibilidades de acesso a informações, tecnologias e culturas.",A,501692,72.6,C,33.6,9.2,1.34,2.28024,0.18554,0.19951,518.6,Inglês
LC,5,5,153833,LCH5,Associar vocábulos e expressões de um texto em LEM ao seu tema.,C,336136,51.4,B,36.0,17.5,1.44,2.32932,0.44342,0.201,544.3,Espanhol
LC,6,6,157751,LCH4,Reconhecer posições críticas aos usos sociais que são feitos das linguagens e dos sistemas de comunicação e informação.,E,838304,46.6,D,55.4,29.6,2.22,2.91253,0.48859,0.10089,548.9,
LC,7,7,157750,LCH1,Identificar as diferentes linguagens e seus recursos expressivos como elementos de caracterização dos sistemas de comunicação.,C,838345,48.1,B,32.8,17.0,1.31,2.05162,0.89837,0.20823,589.8,
LC,8,8,157779,LCH29,"Identificar pela análise de suas linguagens, as tecnologias da comunicação e informação.",D,838197,31.7,A,45.0,30.7,1.8,1.74082,1.23944,0.11882,623.9,
LC,9,9,157781,LCH30,Relacionar as tecnologias de comunicação e informação ao desenvolvimento das sociedades e ao conhecimento que elas produzem.,C,838271,30.5,A,36.4,25.3,1.45,3.44333,1.03742,0.13709,603.7,
LC,10,10,157775,LCH22,"Relacionar, em diferentes textos, opiniões, temas, assuntos e recursos linguísticos.",E,837904,38.4,A,51.4,31.7,2.06,3.6719,1.0849,0.13842,608.5,
LC,11,11,150940,LCH15,"Estabelecer relações entre o texto literário e o momento de sua produção, situando aspectos do contexto histórico, social e político.",B,837600,38.4,D,37.3,23.0,1.49,1.17106,0.92453,0.04846,592.5,
LC,12,12,157571,LCH11,"Reconhecer a linguagem corporal como meio de interação social, considerando os limites de desempenho e as alternativas de adaptação para diferentes indivíduos.",C,839954,64.7,D,53.6,18.9,2.15,2.29926,0.1859,0.18515,518.6,
LC,13,13,153400,LCH27,Reconhecer os usos da norma padrão da língua portuguesa nas diferentes situações de comunicação.,E,838548,33.5,B,39.0,25.9,1.56,4.6087,0.80546,0.10579,580.5,
LC,14,14,157665,LCH21,"Reconhecer em textos de diferentes gêneros, recursos verbais e não-verbais utilizados com a finalidade de criar e mudar comportamentos e hábitos.",C,839782,54.2,A,35.1,16.1,1.4,1.03891,0.31916,0.00705,531.9,
LC,15,15,153556,LCH13,"Analisar as diversas produções artísticas como meio de explicar diferentes culturas, padrões de beleza e preconceitos.",A,839053,48.5,C,44.4,22.9,1.78,2.03689,0.74331,0.21068,574.3,
LC,16,16,157615,LCH15,"Estabelecer relações entre o texto literário e o momento de sua produção, situando aspectos do contexto histórico, social e político.",E,838726,47.2,D,36.0,19.0,1.44,1.64072,0.95986,0.19106,596.0,
LC,17,17,157598,LCH18,Identificar os elementos que concorrem para a progressão temática e para a organização e estruturação de textos de diferentes gêneros e tipos.,C,839489,30.4,B,43.7,30.4,1.75,1.56827,1.94895,0.23722,694.9,
LC,18,18,154020,LCH9,Reconhecer as manifestações corporais de movimento como originárias de necessidades cotidianas de um grupo social.,A,839395,75.8,C,52.1,12.6,2.08,2.44218,-0.02849,0.19639,497.2,
LC,19,19,157619,LCH10,Reconhecer a necessidade de transformação de hábitos corporais em função das necessidades cinestésicas.,E,839546,78.0,B,69.0,15.2,2.76,1.82096,-0.29844,0.19586,470.2,
LC,20,20,150612,LCH20,Reconhecer a importância do patrimônio linguístico para a preservação da memória e da identidade nacional.,B,838929,47.3,D,36.8,19.4,1.47,2.21653,0.6224,0.19711,562.2,
LC,21,21,153392,LCH17,Reconhecer a presença de valores sociais e humanos atualizáveis e permanentes no patrimônio literário nacional.,C,839409,43.1,D,45.1,25.6,1.8,2.2343,0.80331,0.16272,580.3,
LC,22,22,158757,LCH12,"Reconhecer diferentes funções da arte, do trabalho da produção dos artistas em seus meios culturais.",B,839964,64.7,C,50.2,17.7,2.01,2.96488,0.28395,0.14322,528.4,
LC,23,23,158716,LCH14,Reconhecer o valor da diversidade artística e das inter-relações de elementos que se apresentam nas manifestações de vários grupos sociais e étnicos.,C,837964,32.3,B,29.6,20.0,1.18,2.29277,1.01273,0.0931,601.3,
LC,24,24,150674,LCH2,Recorrer aos conhecimentos sobre as linguagens dos sistemas de comunicação e informação para resolver problemas sociais.,B,839966,56.6,D,38.8,16.8,1.55,2.05176,0.63313,0.21138,563.3,
LC,25,25,150643,LCH24,"Reconhecer no texto estratégias argumentativas empregadas para o convencimento do público, tais como a intimidação, sedução, comoção, chantagem, entre outras.",E,834380,40.0,A,45.0,27.0,1.8,2.25962,0.86097,0.1859,586.1,
LC,26,26,44047,LCH26,Relacionar as variedades linguísticas a situações específicas de uso social.,B,840125,87.4,E,34.8,4.4,1.39,2.89699,-0.59642,0.02425,440.4,
LC,27,27,118196,LCH9,Reconhecer as manifestações corporais de movimento como originárias de necessidades cotidianas de um grupo social.,A,839462,71.9,D,47.8,13.4,1.91,2.40377,-0.0414,0.08365,495.9,
LC,28,28,150505,LCH16,Relacionar informações sobre concepções artísticas e procedimentos de construção do texto literário.,B,838925,50.4,A,36.3,18.0,1.45,1.2319,0.54082,0.1049,554.1,
LC,29,29,150761,LCH17,Reconhecer a presença de valores sociais e humanos atualizáveis e permanentes no patrimônio literário nacional.,A,837473,33.7,E,44.2,29.3,1.77,2.23464,1.07057,0.13133,607.1,
LC,30,30,153420,LCH20,Reconhecer a importância do patrimônio linguístico para a preservação da memória e da identidade nacional.,B,836896,20.6,A,35.1,27.9,1.4,2.37816,1.72434,0.14733,672.4,
LC,31,31,153419,LCH28,Reconhecer a função e o impacto social das diferentes tecnologias da comunicação e informação.,D,839671,54.6,C,55.3,25.1,2.21,0.67096,0.11449,0.00825,511.4,
LC,32,32,140908,LCH29,"Identificar pela análise de suas linguagens, as tecnologias da comunicação e informação.",E,834123,11.5,C,44.7,39.5,1.79,4.01735,1.50486,0.06311,650.5,
LC,33,33,140845,LCH2,Recorrer aos conhecimentos sobre as linguagens dos sistemas de comunicação e informação para resolver problemas sociais.,B,839307,61.7,D,34.1,13.1,1.36,2.09447,0.20656,0.13133,520.7,
LC,34,34,120341,LCH19,Analisar a função da linguagem predominante nos textos em situações específicas de interlocução.,C,838985,36.2,A,41.5,26.5,1.66,1.57743,0.96321,0.09612,596.3,
LC,35,35,150642,LCH23,"Inferir em um texto quais são os objetivos de seu produtor e quem é seu público alvo, pela análise dos procedimentos argumentativos utilizados.",E,838385,47.6,A,43.4,22.8,1.74,1.26109,1.31039,0.27904,631.0,
LC,36,36,153681,LCH26,Relacionar as variedades linguísticas a situações específicas de uso social.,D,838774,36.7,B,28.9,18.3,1.16,3.6449,1.00902,0.2065,600.9,
LC,37,37,97881,LCH22,"Relacionar, em diferentes textos, opiniões, temas, assuntos e recursos linguísticos.",A,837472,45.4,D,40.5,22.1,1.62,3.43242,0.90425,0.28122,590.4,
LC,38,38,43532,LCH18,Identificar os elementos que concorrem para a progressão temática e para a organização e estruturação de textos de diferentes gêneros e tipos.,B,837488,35.4,A,41.3,26.7,1.65,4.75417,0.97598,0.1838,597.6,
