id;index;discipline;language;area;skill_code;skill_label;param_a;param_b;param_c;anulado;motivo_anulacao;gabarito_confere_api;observacao
17584;21;linguagens;;LC;H17;Reconhecer a presença de valores sociais e humanos atualizáveis e permanentes no patrimônio literário nacional.;2.2343;0.80331;0.16272;0;;1;
17585;22;linguagens;;LC;H12;Reconhecer diferentes funções da arte, do trabalho da produção dos artistas em seus meios culturais.;2.96488;0.28395;0.14322;0;;1;
17586;23;linguagens;;LC;H14;Reconhecer o valor da diversidade artística e das inter-relações de elementos que se apresentam nas manifestações de vários grupos sociais e étnicos.;2.29277;1.01273;0.0931;0;;1;
17587;24;linguagens;;LC;H2;Recorrer aos conhecimentos sobre as linguagens dos sistemas de comunicação e informação para resolver problemas sociais.;2.05176;0.63313;0.21138;0;;1;
17588;25;linguagens;;LC;H24;Reconhecer no texto estratégias argumentativas empregadas para o convencimento do público, tais como a intimidação, sedução, comoção, chantagem, entre outras.;2.25962;0.86097;0.1859;0;;1;
17589;26;linguagens;;LC;H26;Relacionar as variedades linguísticas a situações específicas de uso social.;2.89699;-0.59642;0.02425;0;;1;
17590;27;linguagens;;LC;H9;Reconhecer as manifestações corporais de movimento como originárias de necessidades cotidianas de um grupo social.;2.40377;-0.0414;0.08365;0;;1;
17591;28;linguagens;;LC;H16;Relacionar informações sobre concepções artísticas e procedimentos de construção do texto literário.;1.2319;0.54082;0.1049;0;;1;
17592;29;linguagens;;LC;H17;Reconhecer a presença de valores sociais e humanos atualizáveis e permanentes no patrimônio literário nacional.;2.23464;1.07057;0.13133;0;;1;
17595;30;linguagens;;LC;H20;Reconhecer a importância do patrimônio linguístico para a preservação da memória e da identidade nacional.;2.37816;1.72434;0.14733;0;;1;
17596;31;linguagens;;LC;H28;Reconhecer a função e o impacto social das diferentes tecnologias da comunicação e informação.;0.67096;0.11449;0.00825;0;;1;
17597;32;linguagens;;LC;H29;Identificar pela análise de suas linguagens, as tecnologias da comunicação e informação.;4.01735;1.50486;0.06311;0;;1;
17598;33;linguagens;;LC;H2;Recorrer aos conhecimentos sobre as linguagens dos sistemas de comunicação e informação para resolver problemas sociais.;2.09447;0.20656;0.13133;0;;1;
17599;34;linguagens;;LC;H19;Analisar a função da linguagem predominante nos textos em situações específicas de interlocução.;1.57743;0.96321;0.09612;0;;1;
17600;35;linguagens;;LC;H23;Inferir em um texto quais são os objetivos de seu produtor e quem é seu público alvo, pela análise dos procedimentos argumentativos utilizados.;1.26109;1.31039;0.27904;0;;1;
17601;36;linguagens;;LC;H26;Relacionar as variedades linguísticas a situações específicas de uso social.;3.6449;1.00902;0.2065;0;;1;
17602;37;linguagens;;LC;H22;Relacionar, em diferentes textos, opiniões, temas, assuntos e recursos linguísticos.;3.43242;0.90425;0.28122;0;;1;
17603;38;linguagens;;LC;H18;Identificar os elementos que concorrem para a progressão temática e para a organização e estruturação de textos de diferentes gêneros e tipos.;4.75417;0.97598;0.1838;0;;1;
17604;39;linguagens;;LC;H30;Relacionar as tecnologias de comunicação e informação ao desenvolvimento das sociedades e ao conhecimento que elas produzem.;2.93851;0.36901;0.18829;0;;1;
17607;40;linguagens;;LC;H16;Relacionar informações sobre concepções artísticas e procedimentos de construção do texto literário.;1.60463;1.535;0.21298;0;;1;
17608;41;linguagens;;LC;H12;Reconhecer diferentes funções da arte, do trabalho da produção dos artistas em seus meios culturais.;1.56252;0.97856;0.22899;0;;1;
17609;42;linguagens;;LC;H25;Identificar, em textos de diferentes gêneros, as marcas linguísticas que singularizam as variedades linguísticas sociais, regionais e de registro.;2.68424;0.7301;0.15132;0;;1;
17610;43;linguagens;;LC;H3;Relacionar informações geradas nos sistemas de comunicação e informação, considerando a função social desses sistemas.;1.17057;0.6619;0.00779;0;;1;
17611;44;linguagens;;LC;H24;Reconhecer no texto estratégias argumentativas empregadas para o convencimento do público, tais como a intimidação, sedução, comoção, chantagem, entre outras.;3.22461;0.66444;0.25447;0;;1;
17612;45;linguagens;;LC;H4;Reconhecer posições críticas aos usos sociais que são feitos das linguagens e dos sistemas de comunicação e informação.;2.622;0.59532;0.25859;0;;1;
17613;46;ciencias-humanas;;CH;H7;Identificar os significados histórico-geográficos das relações de poder entre as nações;2.30036;1.00184;0.16439;0;;1;
17614;47;ciencias-humanas;;CH;H29;Reconhecer a função dos recursos naturais na produção do espaço geográfico, relacionando-os com as mudanças provocadas pelas ações humanas.;1.93462;0.98037;0.16564;0;;1;
17615;48;ciencias-humanas;;CH;H2;Analisar a produção da memória pelas sociedades humanas.;3.63787;1.15279;0.14648;0;;1;
17616;49;ciencias-humanas;;CH;H18;Analisar diferentes processos de produção ou circulação de riquezas e suas implicações sócio-espaciais.;1.84717;0.93959;0.21042;0;;1;
17619;50;ciencias-humanas;;CH;H12;Analisar o papel da justiça como instituição na organização das sociedades.;4.66484;2.18392;0.24931;0;;1;
17620;51;ciencias-humanas;;CH;H20;Selecionar argumentos favoráveis ou contrários às modificações impostas pelas novas tecnologias à vida social e ao mundo do trabalho.;2.71693;0.48298;0.15872;0;;1;
17621;52;ciencias-humanas;;CH;H21;Identificar o papel dos meios de comunicação na construção da vida social.;2.105;1.30323;0.13227;0;;1;
17622;53;ciencias-humanas;;CH;H4;Comparar pontos de vista expressos em diferentes fontes sobre determinado aspecto da cultura.;2.12991;1.01053;0.1851;0;;1;
17623;54;ciencias-humanas;;CH;H8;Analisar a ação dos estados nacionais no que se refere à dinâmica dos fluxos populacionais e no enfrentamento de problemas de ordem econômico-social.;2.89147;0.38165;0.19431;0;;1;
17624;55;ciencias-humanas;;CH;H16;Identificar registros sobre o papel das técnicas e tecnologias na organização do trabalho e/ou da vida social.;2.64665;1.19196;0.1989;0;;1;
17625;56;ciencias-humanas;;CH;H27;Analisar de maneira crítica as interações da sociedade com o meio físico, levando em consideração aspectos históricos e(ou) geográficos.;3.39468;0.43866;0.21726;0;;1;
17626;57;ciencias-humanas;;CH;H26;Identificar em fontes diversas o processo de ocupação dos meios físicos e as relações da vida humana com a paisagem.;1.45157;0.32702;0.25689;0;;1;
17627;58;ciencias-humanas;;CH;H9;Comparar o significado histórico-geográfico das organizações políticas e socioeconômicas em escala local, regional ou mundial.;1.31187;0.62382;0.05009;0;;1;
17628;59;ciencias-humanas;;CH;H26;Identificar em fontes diversas o processo de ocupação dos meios físicos e as relações da vida humana com a paisagem.;3.19307;1.3846;0.09892;0;;1;
17630;60;ciencias-humanas;;CH;H23;Analisar a importância dos valores éticos na estruturação política das sociedades.;2.24373;1.5186;0.21973;0;;1;
17631;61;ciencias-humanas;;CH;H24;Relacionar cidadania e democracia na organização das sociedades.;0.93648;0.01685;0.00699;0;;1;
17632;62;ciencias-humanas;;CH;H22;Analisar as lutas sociais e conquistas obtidas no que se refere às mudanças nas legislações ou nas políticas públicas.;0.87966;0.51011;0.00817;0;;1;
17633;63;ciencias-humanas;;CH;H19;Reconhecer as transformações técnicas e tecnológicas que determinam as várias formas de uso e apropriação dos espaços rural e urbano.;1.86385;1.14501;0.26101;0;;1;
17634;64;ciencias-humanas;;CH;H13;Analisar a atuação dos movimentos sociais que contribuíram para mudanças ou rupturas em processos de disputa pelo poder.;1.49039;2.09108;0.13159;0;;1;
17635;65;ciencias-humanas;;CH;H23;Analisar a importância dos valores éticos na estruturação política das sociedades.;0.96638;0.17386;0.02709;0;;1;
17636;66;ciencias-humanas;;CH;H24;Relacionar cidadania e democracia na organização das sociedades.;1.73204;2.72077;0.1455;0;;1;
17637;67;ciencias-humanas;;CH;H10;Reconhecer a dinâmica da organização dos movimentos sociais e a importância da participação da coletividade na transformação da realidade histórico-geográfica.;4.59882;2.67933;0.2714;0;;1;
17638;68;ciencias-humanas;;CH;H6;Interpretar diferentes representações gráficas e cartográficas dos espaços geográficos.;3.19948;0.61346;0.2005;0;;1;
17639;69;ciencias-humanas;;CH;H1;Interpretar historicamente e/ou geograficamente fontes documentais acerca de aspectos da cultura.;1.09592;1.36918;0.15733;0;;1;
17641;70;ciencias-humanas;;CH;H27;Analisar de maneira crítica as interações da sociedade com o meio físico, levando em consideração aspectos históricos e(ou) geográficos.;1.48674;1.75227;0.12006;0;;1;
17642;71;ciencias-humanas;;CH;H5;Identificar as manifestações ou representações da diversidade do patrimônio cultural e artístico em diferentes sociedades.;2.84871;0.31801;0.21545;0;;1;
17643;72;ciencias-humanas;;CH;H1;Interpretar historicamente e/ou geograficamente fontes documentais acerca de aspectos da cultura.;2.51773;1.23104;0.13566;0;;1;
17644;73;ciencias-humanas;;CH;H15;Avaliar criticamente conflitos culturais, sociais, políticos, econômicos ou ambientais ao longo da história.;3.38036;0.39077;0.295;0;;1;
17645;74;ciencias-humanas;;CH;H11;Identificar registros de práticas de grupos sociais no tempo e no espaço.;3.08374;1.64736;0.15319;0;;1;
17646;75;ciencias-humanas;;CH;H19;Reconhecer as transformações técnicas e tecnológicas que determinam as várias formas de uso e apropriação dos espaços rural e urbano.;2.69381;0.79832;0.22068;0;;1;
17647;76;ciencias-humanas;;CH;H22;Analisar as lutas sociais e conquistas obtidas no que se refere às mudanças nas legislações ou nas políticas públicas.;2.19091;1.56736;0.14811;0;;1;
17648;77;ciencias-humanas;;CH;H28;Relacionar o uso das tecnologias com os impactos sócio-ambientais em diferentes contextos histórico-geográficos.;2.19388;0.35534;0.2554;0;;1;
17649;78;ciencias-humanas;;CH;H11;Identificar registros de práticas de grupos sociais no tempo e no espaço.;2.42693;0.89696;0.18703;0;;1;
17650;79;ciencias-humanas;;CH;H12;Analisar o papel da justiça como instituição na organização das sociedades.;1.75522;2.19228;0.16031;0;;1;
17652;80;ciencias-humanas;;CH;H30;Avaliar as relações entre preservação e degradação da vida no planeta nas diferentes escalas. ANEXO Objetos de conhecimento associados às Matrizes de Referência 1. Linguagem, Códigos e suas Tecnologias • Estudo do texto: as sequências discu;2.52659;0.77;0.12624;0;;1;
17653;81;ciencias-humanas;;CH;H25;Identificar estratégias que promovam formas de inclusão social.;1.9729;1.40956;0.20847;0;;1;
17654;82;ciencias-humanas;;CH;H23;Analisar a importância dos valores éticos na estruturação política das sociedades.;1.27011;0.4607;0.01257;0;;1;
17655;83;ciencias-humanas;;CH;H21;Identificar o papel dos meios de comunicação na construção da vida social.;1.33923;1.58995;0.13226;0;;1;
17656;84;ciencias-humanas;;CH;H28;Relacionar o uso das tecnologias com os impactos sócio-ambientais em diferentes contextos histórico-geográficos.;2.30961;0.41788;0.15881;0;;1;
17657;85;ciencias-humanas;;CH;H14;Comparar diferentes pontos de vista, presentes em textos analíticos e interpretativos, sobre situação ou fatos de natureza histórico-geográfica acerca das instituições sociais, políticas e econômicas.;1.48185;0.40715;0.0573;0;;1;
17658;86;ciencias-humanas;;CH;H17;Analisar fatores que explicam o impacto das novas tecnologias no processo de territorialização da produção.;2.57535;0.86944;0.17393;0;;1;
17659;87;ciencias-humanas;;CH;H25;Identificar estratégias que promovam formas de inclusão social.;2.26139;1.02325;0.16839;0;;1;
17660;88;ciencias-humanas;;CH;H3;Associar as manifestações culturais do presente aos seus processos históricos.;2.33002;0.49764;0.18069;0;;1;
17661;89;ciencias-humanas;;CH;H4;Comparar pontos de vista expressos em diferentes fontes sobre determinado aspecto da cultura.;1.55351;0.67065;0.0359;0;;1;
17663;90;ciencias-humanas;;CH;H7;Identificar os significados histórico-geográficos das relações de poder entre as nações;3.02419;2.65234;0.31115;0;;1;
17664;91;ciencias-natureza;;CN;H7;Selecionar testes de controle, parâmetros ou critérios para a comparação de materiais e produtos, tendo em vista a defesa do consumidor, a saúde do trabalhador ou a qualidade de vida.;2.67294;0.81134;0.11082;0;;1;
17665;92;ciencias-natureza;;CN;H29;Interpretar experimentos ou técnicas que utilizam seres vivos, analisando implicações para o ambiente, a saúde, a produção de alimentos, matérias primas ou produtos industriais.;2.72571;0.53409;0.22592;0;;1;
17666;93;ciencias-natureza;;CN;H28;Associar características adaptativas dos organismos com seu modo de vida ou com seus limites de distribuição em diferentes ambientes, em especial em ambientes brasileiros.;2.61875;1.03514;0.14955;0;;1;
17667;94;ciencias-natureza;;CN;H5;Dimensionar circuitos ou dispositivos elétricos de uso cotidiano.;1.93986;1.47354;0.11645;0;;1;
17668;95;ciencias-natureza;;CN;H21;Utilizar leis físicas e (ou) químicas para interpretar processos naturais ou tecnológicos inseridos no contexto da termodinâmica e(ou) do eletromagnetismo.;3.42122;0.81157;0.39932;0;;1;
17669;96;ciencias-natureza;;CN;H16;Compreender o papel da evolução na produção de padrões, processos biológicos ou na organização taxonômica dos seres vivos.;1.40342;0.05691;0.18305;0;;1;
17670;97;ciencias-natureza;;CN;H11;Reconhecer benefícios, limitações e aspectos éticos da biotecnologia, considerando estruturas e processos biológicos envolvidos em produtos biotecnológicos.;2.64721;0.62429;0.21123;0;;1;
17671;98;ciencias-natureza;;CN;H10;Analisar perturbações ambientais, identificando fontes, transporte e(ou) destino dos poluentes ou prevendo efeitos em sistemas naturais, produtivos ou sociais.;2.99967;-0.11059;0.20992;0;;1;
17672;99;ciencias-natureza;;CN;H28;Associar características adaptativas dos organismos com seu modo de vida ou com seus limites de distribuição em diferentes ambientes, em especial em ambientes brasileiros.;1.28277;-0.02368;0.08927;0;;1;
17491;100;ciencias-natureza;;CN;H25;Caracterizar materiais ou substâncias, identificando etapas, rendimentos ou implicações biológicas, sociais, econômicas ou ambientais de sua obtenção ou produção.;1.12876;-0.22105;0.20737;0;;1;
17492;101;ciencias-natureza;;CN;H22;Compreender fenômenos decorrentes da interação entre a radiação e a matéria em suas manifestações em processos naturais ou tecnológicos, ou em suas implicações biológicas, sociais, econômicas ou ambientais.;1.54378;0.98844;0.37883;0;;1;
17493;102;ciencias-natureza;;CN;H30;Avaliar propostas de alcance individual ou coletivo, identificando aquelas que visam à preservação e a implementação da saúde individual, coletiva ou do ambiente.;0.66752;-0.13699;0.01141;0;;1;
17494;103;ciencias-natureza;;CN;H14;Identificar padrões em fenômenos e processos vitais dos organismos, como manutenção do equilíbrio interno, defesa, relações com o ambiente, sexualidade, entre outros.;0.76781;1.53685;0.05698;0;;1;
17495;104;ciencias-natureza;;CN;H4;Avaliar propostas de intervenção no ambiente, considerando a qualidade da vida humana ou medidas de conservação, recuperação ou utilização sustentável da biodiversidade.;2.40638;0.33454;0.35394;0;;1;
17496;105;ciencias-natureza;;CN;H23;Avaliar possibilidades de geração, uso ou transformação de energia em ambientes específicos, considerando implicações éticas, ambientais, sociais e/ou econômicas.;2.32686;1.10209;0.14218;0;;1;
17497;106;ciencias-natureza;;CN;H3;Confrontar interpretações científicas com interpretações baseadas no senso comum, ao longo do tempo ou em diferentes culturas.;2.26264;1.03971;0.25705;0;;1;
17498;107;ciencias-natureza;;CN;H13;Reconhecer mecanismos de transmissão da vida, prevendo ou explicando a manifestação de características dos seres vivos.;1.67455;0.6282;0.18765;0;;1;
17499;108;ciencias-natureza;;CN;H3;Confrontar interpretações científicas com interpretações baseadas no senso comum, ao longo do tempo ou em diferentes culturas.;2.43322;2.00446;0.06758;0;;1;
17500;109;ciencias-natureza;;CN;H27;Avaliar propostas de intervenção no meio ambiente aplicando conhecimentos químicos, observando riscos ou benefícios.;2.02566;1.00774;0.21991;0;;1;
17502;110;ciencias-natureza;;CN;H22;Compreender fenômenos decorrentes da interação entre a radiação e a matéria em suas manifestações em processos naturais ou tecnológicos, ou em suas implicações biológicas, sociais, econômicas ou ambientais.;3.12069;1.04345;0.16952;0;;1;
17503;111;ciencias-natureza;;CN;H9;Compreender a importância dos ciclos biogeoquímicos ou do fluxo energia para a vida, ou da ação de agentes ou fenômenos que podem causar alterações nesses processos.;2.86246;1.41211;0.10841;0;;1;
17504;112;ciencias-natureza;;CN;H19;Avaliar métodos, processos ou procedimentos das ciências naturais que contribuam para diagnosticar ou solucionar problemas de ordem social, econômica ou ambiental.;3.21881;1.26954;0.16281;0;;1;
17505;113;ciencias-natureza;;CN;H20;Caracterizar causas ou efeitos dos movimentos de partículas, substâncias, objetos ou corpos celestes.;2.88186;1.91093;0.11423;0;;1;
17506;114;ciencias-natureza;;CN;H1;Reconhecer características ou propriedades de fenômenos ondulatórios ou oscilatórios, relacionando-os a seus usos em diferentes contextos.;1.78046;0.59946;0.1569;0;;1;
17507;115;ciencias-natureza;;CN;H24;Utilizar códigos e nomenclatura da química para caracterizar materiais, substâncias ou transformações químicas.;0.91431;1.14394;0.07728;0;;1;
17508;116;ciencias-natureza;;CN;H28;Associar características adaptativas dos organismos com seu modo de vida ou com seus limites de distribuição em diferentes ambientes, em especial em ambientes brasileiros.;1.97245;1.25206;0.09695;0;;1;
17509;117;ciencias-natureza;;CN;H21;Utilizar leis físicas e (ou) químicas para interpretar processos naturais ou tecnológicos inseridos no contexto da termodinâmica e(ou) do eletromagnetismo.;2.98408;1.92485;0.18688;0;;1;
17510;118;ciencias-natureza;;CN;H18;Relacionar propriedades físicas, químicas ou biológicas de produtos, sistemas ou procedimentos tecnológicos às finalidades a que se destinam.;2.02857;1.75727;0.19989;0;;1;
17511;119;ciencias-natureza;;CN;H2;Associar a solução de problemas de comunicação, transporte, saúde ou outro, com o correspondente desenvolvimento científico e tecnológico.;1.31784;2.88051;0.29392;0;;1;
17513;120;ciencias-natureza;;CN;H6;Relacionar informações para compreender manuais de instalação ou utilização de aparelhos, ou sistemas tecnológicos de uso comum.;6.00319;2.4444;0.28583;0;;1;
17514;121;ciencias-natureza;;CN;H7;Selecionar testes de controle, parâmetros ou critérios para a comparação de materiais e produtos, tendo em vista a defesa do consumidor, a saúde do trabalhador ou a qualidade de vida.;3.07317;2.22434;0.09898;0;;1;
17515;122;ciencias-natureza;;CN;H23;Avaliar possibilidades de geração, uso ou transformação de energia em ambientes específicos, considerando implicações éticas, ambientais, sociais e/ou econômicas.;2.30161;1.64956;0.31542;0;;1;
17517;124;ciencias-natureza;;CN;H24;Utilizar códigos e nomenclatura da química para caracterizar materiais, substâncias ou transformações químicas.;1.71937;2.18313;0.18212;0;;1;
17518;125;ciencias-natureza;;CN;H25;Caracterizar materiais ou substâncias, identificando etapas, rendimentos ou implicações biológicas, sociais, econômicas ou ambientais de sua obtenção ou produção.;;;;1;Problema de convergência;1;item anulado - sem parametro TRI (NUNCA preencher, conforme dado oficial INEP)
17519;126;ciencias-natureza;;CN;H20;Caracterizar causas ou efeitos dos movimentos de partículas, substâncias, objetos ou corpos celestes.;2.29917;1.62756;0.1603;0;;1;
17520;127;ciencias-natureza;;CN;H8;Identificar etapas em processos de obtenção, transformação, utilização ou reciclagem de recursos naturais, energéticos ou matérias-primas, considerando processos biológicos, químicos ou físicos neles envolvidos.;4.85792;1.12172;0.19432;0;;1;
17521;128;ciencias-natureza;;CN;H17;Relacionar informações apresentadas em diferentes formas de linguagem e representação usadas nas ciências físicas, químicas ou biológicas, como texto discursivo, gráficos, tabelas, relações matemáticas ou linguagem simbólica.;2.30747;0.51744;0.18422;0;;1;
17522;129;ciencias-natureza;;CN;H15;Interpretar modelos e experimentos para explicar fenômenos ou processos biológicos em qualquer nível de organização dos sistemas biológicos.;1.19807;0.63661;0.13434;0;;1;
17524;130;ciencias-natureza;;CN;H5;Dimensionar circuitos ou dispositivos elétricos de uso cotidiano.;3.09565;1.79848;0.26323;0;;1;
17525;131;ciencias-natureza;;CN;H26;Avaliar implicações sociais, ambientais e/ou econômicas na produção ou no consumo de recursos energéticos ou minerais, identificando transformações químicas ou de energia envolvidas nesses processos.;3.42124;1.93027;0.06916;0;;1;
17527;133;ciencias-natureza;;CN;H17;Relacionar informações apresentadas em diferentes formas de linguagem e representação usadas nas ciências físicas, químicas ou biológicas, como texto discursivo, gráficos, tabelas, relações matemáticas ou linguagem simbólica.;1.55647;2.09416;0.14181;0;;1;
17528;134;ciencias-natureza;;CN;H12;Avaliar impactos em ambientes naturais decorrentes de atividades sociais ou econômicas, considerando interesses contraditórios.;3.50039;1.25217;0.25537;0;;1;
17529;135;ciencias-natureza;;CN;H1;Reconhecer características ou propriedades de fenômenos ondulatórios ou oscilatórios, relacionando-os a seus usos em diferentes contextos.;2.79117;1.62585;0.11285;0;;1;
17530;136;matematica;;MT;H4;Avaliar a razoabilidade de um resultado numérico na construção de argumentos sobre afirmações quantitativas.;1.84431;0.87782;0.13438;0;;1;
17531;137;matematica;;MT;H28;Resolver situação-problema que envolva conhecimentos de estatística e probabilidade.;3.12993;1.8995;0.08299;0;;1;
17532;138;matematica;;MT;H6;Interpretar a localização e a movimentação de pessoas/objetos no espaço tridimensional e sua representação no espaço bidimensional.;2.19978;1.77865;0.17051;0;;1;
17533;139;matematica;;MT;H9;Utilizar conhecimentos geométricos de espaço e forma na seleção de argumentos propostos como solução de problemas do cotidiano.;1.01265;2.90829;0.31125;0;;1;
17535;140;matematica;;MT;H18;Avaliar propostas de intervenção na realidade envolvendo variação de grandezas.;3.46557;2.92476;0.07945;0;;1;
17536;141;matematica;;MT;H5;Avaliar propostas de intervenção na realidade utilizando conhecimentos numéricos.;1.7134;1.91607;0.24889;0;;1;
17537;142;matematica;;MT;H27;Calcular medidas de tendência central ou de dispersão de um conjunto de dados expressos em uma tabela de frequências de dados agrupados (não em classes) ou em gráficos.;1.5176;0.98928;0.20278;0;;1;
17538;143;matematica;;MT;H17;Analisar informações envolvendo a variação de grandezas como recurso para a construção de argumentação.;1.20166;0.77428;0.16195;0;;1;
17539;144;matematica;;MT;H7;Identificar características de figuras planas ou espaciais.;1.41236;2.97953;0.14906;0;;1;
17540;145;matematica;;MT;H20;Interpretar gráfico cartesiano que represente relações entre grandezas.;1.4441;-0.18872;0.19786;0;;1;
17541;146;matematica;;MT;H3;Resolver situação-problema envolvendo conhecimentos numéricos.;1.25353;0.84993;0.21314;0;;1;
17542;147;matematica;;MT;H24;Utilizar informações expressas em gráficos ou tabelas para fazer inferências.;2.4952;0.97163;0.106;0;;1;
17543;148;matematica;;MT;H11;Utilizar a noção de escalas na leitura de representação de situação do cotidiano.;1.87604;1.07428;0.14024;0;;1;
17544;149;matematica;;MT;H8;Resolver situação-problema que envolva conhecimentos geométricos de espaço e forma.;2.35807;2.35402;0.24099;0;;1;
17546;150;matematica;;MT;H16;Resolver situação-problema envolvendo a variação de grandezas, direta ou inversamente proporcionais.;2.05503;1.52998;0.26701;0;;1;
17547;151;matematica;;MT;H1;Reconhecer, no contexto social, diferentes significados e representações dos números e operações - naturais, inteiros, racionais ou reais.;1.5765;0.09067;0.17135;0;;1;
17548;152;matematica;;MT;H28;Resolver situação-problema que envolva conhecimentos de estatística e probabilidade.;2.02208;2.22726;0.16081;0;;1;
17549;153;matematica;;MT;H22;Utilizar conhecimentos algébricos/geométricos como recurso para a construção de argumentação.;2.27648;2.43408;0.15585;0;;1;
17550;154;matematica;;MT;H26;Analisar informações expressas em gráficos ou tabelas como recurso para a construção de argumentos.;1.55368;1.18413;0.18289;0;;1;
17551;155;matematica;;MT;H2;Identificar padrões numéricos ou princípios de contagem.;0.94228;2.28567;0.11961;0;;1;
